n_heads,d_model,mse
4,64,0.3104252517223358
32,32,0.3088862895965576
4,256,0.31218695640563965
16,256,0.3116300404071808
8,256,0.3111599087715149
32,64,0.31031695008277893
8,32,0.3095293641090393
4,128,0.30866435170173645
32,256,0.311435341835022
16,128,0.30991148948669434
4,32,0.31160569190979004
32,128,0.30967283248901367
8,128,0.30911046266555786
16,32,0.30941635370254517
16,64,0.310269832611084
8,64,0.30994656682014465
